State/ territory,SA3,SA3 Name,Sex,5 year period,Deaths,SA3 ASR,State ASR,Australia ASR 
New South Wales,10102,Queanbeyan,Persons,2014until2018,40,13.1,11.1,12.6
New South Wales,10103,Snowy Mountains,Persons,2014until2018,14,0,11.1,12.6
New South Wales,10104,South Coast,Persons,2014until2018,61,19.3,11.1,12.6
New South Wales,10105,Goulburn until Mulwaree,Persons,2014until2018,25,12.3,11.1,12.6
New South Wales,10106,Young until Yass,Persons,2014until2018,40,23.5,11.1,12.6
New South Wales,10201,Gosford,Persons,2014until2018,119,13.7,11.1,12.6
New South Wales,10202,Wyong,Persons,2014until2018,103,13,11.1,12.6
New South Wales,10301,Bathurst,Persons,2014until2018,30,11.7,11.1,12.6
New South Wales,10302,Lachlan Valley,Persons,2014until2018,50,19.5,11.1,12.6
New South Wales,10303,Lithgow until Mudgee,Persons,2014until2018,43,18.9,11.1,12.6
New South Wales,10304,Orange,Persons,2014until2018,34,12,11.1,12.6
New South Wales,10401,Clarence Valley,Persons,2014until2018,44,19.2,11.1,12.6
New South Wales,10402,Coffs Harbour,Persons,2014until2018,75,17.8,11.1,12.6
New South Wales,10501,Bourke until Cobar until Coonamble,Persons,2014until2018,18,0,11.1,12.6
New South Wales,10502,Broken Hill and Far West,Persons,2014until2018,20,17.8,11.1,12.6
New South Wales,10503,Dubbo,Persons,2014until2018,38,10.8,11.1,12.6
New South Wales,10601,Lower Hunter,Persons,2014until2018,57,13.6,11.1,12.6
New South Wales,10602,Maitland,Persons,2014until2018,43,11.7,11.1,12.6
New South Wales,10603,Port Stephens,Persons,2014until2018,58,16,11.1,12.6
New South Wales,10604,Upper Hunter,Persons,2014until2018,29,19.6,11.1,12.6
New South Wales,10701,Dapto until Port Kembla,Persons,2014until2018,38,10.7,11.1,12.6
New South Wales,10703,Kiama until Shellharbour,Persons,2014until2018,49,11.3,11.1,12.6
New South Wales,10704,Wollongong,Persons,2014until2018,75,11,11.1,12.6
New South Wales,10801,Great Lakes,Persons,2014until2018,27,19.1,11.1,12.6
New South Wales,10802,Kempsey until Nambucca,Persons,2014until2018,52,22.8,11.1,12.6
New South Wales,10804,Port Macquarie,Persons,2014until2018,41,11.5,11.1,12.6
New South Wales,10805,Taree until Gloucester,Persons,2014until2018,50,19.4,11.1,12.6
New South Wales,10901,Albury,Persons,2014until2018,51,16.8,11.1,12.6
New South Wales,10902,Lower Murray,Persons,2014until2018,11,0,11.1,12.6
New South Wales,10903,Upper Murray exc. Albury,Persons,2014until2018,30,15.8,11.1,12.6
New South Wales,11001,Armidale,Persons,2014until2018,22,11,11.1,12.6
New South Wales,11002,Inverell until Tenterfield,Persons,2014until2018,39,21.4,11.1,12.6
New South Wales,11003,Moree until Narrabri,Persons,2014until2018,23,18.5,11.1,12.6
New South Wales,11004,Tamworth until Gunnedah,Persons,2014until2018,58,13.9,11.1,12.6
New South Wales,11101,Lake Macquarie until East,Persons,2014until2018,65,10.7,11.1,12.6
New South Wales,11102,Lake Macquarie until West,Persons,2014until2018,63,17.3,11.1,12.6
New South Wales,11103,Newcastle,Persons,2014until2018,119,13.9,11.1,12.6
New South Wales,11201,Richmond Valley until Coastal,Persons,2014until2018,66,16.8,11.1,12.6
New South Wales,11202,Richmond Valley until Hinterland,Persons,2014until2018,66,18,11.1,12.6
New South Wales,11203,Tweed Valley,Persons,2014until2018,70,16,11.1,12.6
New South Wales,11301,Griffith until Murrumbidgee (West),Persons,2014until2018,37,15.2,11.1,12.6
New South Wales,11302,Tumut until Tumbarumba,Persons,2014until2018,13,0,11.1,12.6
New South Wales,11303,Wagga Wagga,Persons,2014until2018,75,16.3,11.1,12.6
New South Wales,11401,Shoalhaven,Persons,2014until2018,81,17.4,11.1,12.6
New South Wales,11402,Southern Highlands,Persons,2014until2018,39,17.4,11.1,12.6
New South Wales,11501,Baulkham Hills,Persons,2014until2018,55,7.6,11.1,12.6
New South Wales,11502,Dural until Wisemans Ferry,Persons,2014until2018,10,0,11.1,12.6
New South Wales,11503,Hawkesbury,Persons,2014until2018,22,17.1,11.1,12.6
New South Wales,11504,Rouse Hill until McGraths Hill,Persons,2014until2018,13,0,11.1,12.6
New South Wales,11601,Blacktown,Persons,2014until2018,60,8.6,11.1,12.6
New South Wales,11602,Blacktown until North,Persons,2014until2018,33,7.5,11.1,12.6
New South Wales,11603,Mount Druitt,Persons,2014until2018,62,11.3,11.1,12.6
New South Wales,11701,Botany,Persons,2014until2018,33,13.2,11.1,12.6
New South Wales,11702,Marrickville until Sydenham until Petersham,Persons,2014until2018,33,10.8,11.1,12.6
New South Wales,11703,Sydney Inner City,Persons,2014until2018,179,16.5,11.1,12.6
New South Wales,11801,Eastern Suburbs until North,Persons,2014until2018,72,10.1,11.1,12.6
New South Wales,11802,Eastern Suburbs until South,Persons,2014until2018,74,9.7,11.1,12.6
New South Wales,11901,Bankstown,Persons,2014until2018,75,8.3,11.1,12.6
New South Wales,11902,Canterbury,Persons,2014until2018,51,6.9,11.1,12.6
New South Wales,11903,Hurstville,Persons,2014until2018,55,7.9,11.1,12.6
New South Wales,11904,Kogarah until Rockdale,Persons,2014until2018,47,6.2,11.1,12.6
New South Wales,12001,Canada Bay,Persons,2014until2018,35,7.3,11.1,12.6
New South Wales,12002,Leichhardt,Persons,2014until2018,27,8.9,11.1,12.6
New South Wales,12003,Strathfield until Burwood until Ashfield,Persons,2014until2018,64,7.9,11.1,12.6
New South Wales,12101,Chatswood until Lane Cove,Persons,2014until2018,39,6.6,11.1,12.6
New South Wales,12102,Hornsby,Persons,2014until2018,43,10.2,11.1,12.6
New South Wales,12103,Kuuntilringuntilgai,Persons,2014until2018,42,6.9,11.1,12.6
New South Wales,12104,North Sydney until Mosman,Persons,2014until2018,62,11.4,11.1,12.6
New South Wales,12201,Manly,Persons,2014until2018,22,8.7,11.1,12.6
New South Wales,12202,Pittwater,Persons,2014until2018,27,8.8,11.1,12.6
New South Wales,12203,Warringah,Persons,2014until2018,61,7.6,11.1,12.6
New South Wales,12301,Camden,Persons,2014until2018,24,7.6,11.1,12.6
New South Wales,12302,Campbelltown (NSW),Persons,2014until2018,90,10.9,11.1,12.6
New South Wales,12303,Wollondilly,Persons,2014until2018,23,10.9,11.1,12.6
New South Wales,12401,Blue Mountains,Persons,2014until2018,51,13.4,11.1,12.6
New South Wales,12403,Penrith,Persons,2014until2018,92,13,11.1,12.6
New South Wales,12404,Richmond until Windsor,Persons,2014until2018,23,12.6,11.1,12.6
New South Wales,12405,St Marys,Persons,2014until2018,32,11.6,11.1,12.6
New South Wales,12501,Auburn,Persons,2014until2018,37,7.1,11.1,12.6
New South Wales,12502,Carlingford,Persons,2014until2018,24,6.7,11.1,12.6
New South Wales,12503,Merrylands until Guildford,Persons,2014until2018,51,6.5,11.1,12.6
New South Wales,12504,Parramatta,Persons,2014until2018,52,7,11.1,12.6
New South Wales,12601,Pennant Hills until Epping,Persons,2014until2018,15,0,11.1,12.6
