Year,Count,Types,Percentage
1995,388,Solids and liquids,0.164128596
1996,366,Solids and liquids,0.151052414
1997,340,Solids and liquids,0.128447299
1998,319,Solids and liquids,0.12078758
1999,307,Solids and liquids,0.123293173
2000,314,Solids and liquids,0.131270903
2001,307,Solids and liquids,0.124241198
2002,321,Solids and liquids,0.137827394
2003,289,Solids and liquids,0.133548983
2004,260,Solids and liquids,0.122065728
2005,261,Solids and liquids,0.124522901
2006,266,Solids and liquids,0.124067164
2007,318,Solids and liquids,0.140645732
2008,335,Solids and liquids,0.143900344
2009,350,Solids and liquids,0.14824227
2010,320,Solids and liquids,0.132615002
2011,388,Solids and liquids,0.156641098
2012,387,Solids and liquids,0.150759642
2013,423,Solids and liquids,0.159322034
2014,452,Solids and liquids,0.156563907
2015,501,Solids and liquids,0.163405088
1995,524,Gases,0.221658206
1996,540,Gases,0.222864218
1997,602,Gases,0.227427276
1998,563,Gases,0.213176827
1999,569,Gases,0.228514056
2000,540,Gases,0.225752508
2001,482,Gases,0.195062728
2002,422,Gases,0.181193645
2003,371,Gases,0.171441774
2004,383,Gases,0.179812207
2005,319,Gases,0.152194656
2006,271,Gases,0.126399254
2007,238,Gases,0.105263158
2008,236,Gases,0.10137457
2009,240,Gases,0.101651842
2010,219,Gases,0.090758392
2011,211,Gases,0.08518369
2012,188,Gases,0.073237242
2013,177,Gases,0.066666667
2014,174,Gases,0.060270177
2015,193,Gases,0.062948467
1995,695,Hanging,0.293993232
1996,809,Hanging,0.333883615
1997,1000,Hanging,0.377786173
1998,1173,Hanging,0.444149943
1999,1039,Hanging,0.417269076
2000,999,Hanging,0.41764214
2001,1084,Hanging,0.43868879
2002,1030,Hanging,0.442249893
2003,986,Hanging,0.455637708
2004,1013,Hanging,0.475586854
2005,1072,Hanging,0.511450382
2006,1089,Hanging,0.507929104
2007,1179,Hanging,0.521450686
2008,1184,Hanging,0.508591065
2009,1235,Hanging,0.523083439
2010,1329,Hanging,0.55076668
2011,1361,Hanging,0.549454986
2012,1395,Hanging,0.543435917
2013,1425,Hanging,0.536723164
2014,1636,Hanging,0.566678213
2015,1685,Hanging,0.549575995
1995,65,Drowning,0.02749577
1996,44,Drowning,0.018159307
1997,76,Drowning,0.028711749
1998,45,Drowning,0.017039
1999,40,Drowning,0.016064257
2000,46,Drowning,0.019230769
